Curva,Poco
TDEP,P_1-BRSA-595-SE
AHV,P_1-BRSA-595-SE
AHVT,P_1-BRSA-595-SE
ALPHA,P_1-BRSA-595-SE
AMPL,P_1-BRSA-595-SE
BHV,P_1-BRSA-595-SE
BHVT,P_1-BRSA-595-SE
BS,P_1-BRSA-595-SE
CALI,P_1-BRSA-595-SE
CS,P_1-BRSA-595-SE
DCAL,P_1-BRSA-595-SE
DDRX,P_1-BRSA-595-SE
DDRY,P_1-BRSA-595-SE
DDX,P_1-BRSA-595-SE
DDY,P_1-BRSA-595-SE
DFL,P_1-BRSA-595-SE
DFLF,P_1-BRSA-595-SE
DIAM,P_1-BRSA-595-SE
DLIM,P_1-BRSA-595-SE
DMR,P_1-BRSA-595-SE
DMY,P_1-BRSA-595-SE
DPE,P_1-BRSA-595-SE
DPHD,P_1-BRSA-595-SE
DPHI,P_1-BRSA-595-SE
DPHS,P_1-BRSA-595-SE
DQCAL,P_1-BRSA-595-SE
DQZER,P_1-BRSA-595-SE
DRCO,P_1-BRSA-595-SE
DRHO,P_1-BRSA-595-SE
DT,P_1-BRSA-595-SE
DT_RCV,P_1-BRSA-595-SE
DT_UNF,P_1-BRSA-595-SE
DT_XMT,P_1-BRSA-595-SE
DVARC,P_1-BRSA-595-SE
DXCO,P_1-BRSA-595-SE
DZB,P_1-BRSA-595-SE
DZM,P_1-BRSA-595-SE
ERROR,P_1-BRSA-595-SE
ETIME,P_1-BRSA-595-SE
FDSN,P_1-BRSA-595-SE
FNOISE,P_1-BRSA-595-SE
FSDL,P_1-BRSA-595-SE
GAIN_F,P_1-BRSA-595-SE
GAIN_N,P_1-BRSA-595-SE
GR,P_1-BRSA-595-SE
GRCO,P_1-BRSA-595-SE
GRU,P_1-BRSA-595-SE
HDCN,P_1-BRSA-595-SE
HDR,P_1-BRSA-595-SE
HDRS,P_1-BRSA-595-SE
HDX,P_1-BRSA-595-SE
HMCN,P_1-BRSA-595-SE
HMR,P_1-BRSA-595-SE
HMRS,P_1-BRSA-595-SE
HMX,P_1-BRSA-595-SE
HT24,P_1-BRSA-595-SE
HT30,P_1-BRSA-595-SE
HT40,P_1-BRSA-595-SE
HT60,P_1-BRSA-595-SE
HT90,P_1-BRSA-595-SE
ITT,P_1-BRSA-595-SE
ITTT,P_1-BRSA-595-SE
MINM,P_1-BRSA-595-SE
MMRK,P_1-BRSA-595-SE
MMRKT,P_1-BRSA-595-SE
MQCAL,P_1-BRSA-595-SE
MQZER,P_1-BRSA-595-SE
MRCO,P_1-BRSA-595-SE
MSGGAI,P_1-BRSA-595-SE
MSGRCV,P_1-BRSA-595-SE
MXCO,P_1-BRSA-595-SE
NDSN,P_1-BRSA-595-SE
NLIM,P_1-BRSA-595-SE
NNOISE,P_1-BRSA-595-SE
NPHD,P_1-BRSA-595-SE
NPHI,P_1-BRSA-595-SE
NPHS,P_1-BRSA-595-SE
NRAT,P_1-BRSA-595-SE
NSDL,P_1-BRSA-595-SE
PELC,P_1-BRSA-595-SE
PEU,P_1-BRSA-595-SE
PKCODE,P_1-BRSA-595-SE
QDT,P_1-BRSA-595-SE
QL,P_1-BRSA-595-SE
QPE,P_1-BRSA-595-SE
QS,P_1-BRSA-595-SE
RHOB,P_1-BRSA-595-SE
RXRT,P_1-BRSA-595-SE
SDSO,P_1-BRSA-595-SE
SDT2,P_1-BRSA-595-SE
SP,P_1-BRSA-595-SE
SPA,P_1-BRSA-595-SE
SPDCOR,P_1-BRSA-595-SE
SPHI,P_1-BRSA-595-SE
STEM,P_1-BRSA-595-SE
STUCK,P_1-BRSA-595-SE
TENS,P_1-BRSA-595-SE
TPRES,P_1-BRSA-595-SE
TT1,P_1-BRSA-595-SE
TT11,P_1-BRSA-595-SE
TT12,P_1-BRSA-595-SE
TT2,P_1-BRSA-595-SE
TT21,P_1-BRSA-595-SE
TT22,P_1-BRSA-595-SE
TTEMP,P_1-BRSA-595-SE
VRES,P_1-BRSA-595-SE
XFRAC,P_1-BRSA-595-SE
ZB,P_1-BRSA-595-SE
ZM,P_1-BRSA-595-SE
HMRS2,P_1-BRSA-595-SE
HDRS2,P_1-BRSA-595-SE
