Curva,Poco
TDEP,P_574
AHV,P_574
AHVT,P_574
ALPHA,P_574
AMPL,P_574
BHV,P_574
BHVT,P_574
BS,P_574
CALI,P_574
CS,P_574
DCAL,P_574
DDRX,P_574
DDRY,P_574
DDX,P_574
DDY,P_574
DFL,P_574
DFLF,P_574
DIAM,P_574
DLIM,P_574
DMR,P_574
DMY,P_574
DPE,P_574
DPHD,P_574
DPHI,P_574
DPHS,P_574
DQCAL,P_574
DQZER,P_574
DRCO,P_574
DRHO,P_574
DT,P_574
DT_RCV,P_574
DT_UNF,P_574
DT_XMT,P_574
DVARC,P_574
DXCO,P_574
DZB,P_574
DZM,P_574
ERROR,P_574
ETIME,P_574
FDSN,P_574
FNOISE,P_574
FSDL,P_574
GAIN_F,P_574
GAIN_N,P_574
GR,P_574
GRCO,P_574
GRU,P_574
HDCN,P_574
HDR,P_574
HDRS,P_574
HDX,P_574
HMCN,P_574
HMR,P_574
HMRS,P_574
HMX,P_574
HT24,P_574
HT30,P_574
HT40,P_574
HT60,P_574
HT90,P_574
ITT,P_574
ITTT,P_574
MINM,P_574
MMRK,P_574
MMRKT,P_574
MQCAL,P_574
MQZER,P_574
MRCO,P_574
MSGGAI,P_574
MSGRCV,P_574
MXCO,P_574
NDSN,P_574
NLIM,P_574
NNOISE,P_574
NPHD,P_574
NPHI,P_574
NPHS,P_574
NRAT,P_574
NSDL,P_574
PE,P_574
PELC,P_574
PEU,P_574
PKCODE,P_574
QDT,P_574
QL,P_574
QPE,P_574
QS,P_574
RHOB,P_574
RXRT,P_574
SDSO,P_574
SDT2,P_574
SP,P_574
SPA,P_574
SPDCOR,P_574
SPHI,P_574
STEM,P_574
STUCK,P_574
TENS,P_574
TPRES,P_574
TT1,P_574
TT11,P_574
TT12,P_574
TT2,P_574
TT21,P_574
TT22,P_574
TTEMP,P_574
VRES,P_574
XFRAC,P_574
ZB,P_574
ZM,P_574
HDRS2,P_574
HMRS2,P_574
