Curvas do Poco 595,Curvas do Poco 889,Curvas do Poco 897,Curvas do Poco 900,Curvas do Poco 907,Curvas do Poco 910,Curvas do Poco 912
TDEP,TDEP,TDEP,TDEP,TDEP,TDEP,TDEP
AHV,GR,DTC,GR,ITTT,GR,BSZ
AHVT,NPHI,SP,TENS,BHVT,MMK,DRHO
ALPHA,RHOB,HDRS,LSPD,AHVT,TENS,PE
AMPL,DRHO,HMRS,BS,ITT,WF11,RHOB
BHV,PE,HDCN,MMK,BHV,HMRS,BHVT
BHVT,CALI,HMCN,NPHI,AHV,HDRS,AHVT
BS,BHVT,ITTT,NCPS,MMK,SP,BHV
CALI,AHVT,WF11,FCPS,GR,DTC,AHV
CS,DTC,GR,CALI,SP,ITTT,CALI
DCAL,SP,CALI,BHVT,BSZ,ITT,NPHI
DDRX,HDRS,BHVT,AHVT,TENS,NPHI,MMK
DDRY,HMRS,AHVT,RHOB,CALI,DRHO,TENS
DDX,HDCN,NPHI,DRHO,DRHO,PE,GR
DDY,HMCN,RHOB,PE,WF11,RHOB,SP
DFL,ITTT,DRHO,HDRS,PE,BSZ,LLS
DFLF,WF11,PE,HMRS,HMRS,CALI,LLD
DIAM,TENS,TENS,HDCN,HDRS,BHV,ITTT
DLIM,BSZ,CS,HMCN,DTC,AHV,ITT
DMR,,BSZ,DTC,RHOB,BHVT,DTC
DMY,,MMK,ITTT,NPHI,AHVT,
DPE,,,,,,
DPHD,,,,,,
DPHI,,,,,,
DPHS,,,,,,
DQCAL,,,,,,
DQZER,,,,,,
DRCO,,,,,,
DRHO,,,,,,
DT,,,,,,
DT_RCV,,,,,,
DT_UNF,,,,,,
DT_XMT,,,,,,
DVARC,,,,,,
DXCO,,,,,,
DZB,,,,,,
DZM,,,,,,
ERROR,,,,,,
ETIME,,,,,,
FDSN,,,,,,
FNOISE,,,,,,
FSDL,,,,,,
GAIN_F,,,,,,
GAIN_N,,,,,,
GR,,,,,,
GRCO,,,,,,
GRU,,,,,,
HDCN,,,,,,
HDR,,,,,,
HDRS,,,,,,
HDX,,,,,,
HMCN,,,,,,
HMR,,,,,,
HMRS,,,,,,
HMX,,,,,,
HT24,,,,,,
HT30,,,,,,
HT40,,,,,,
HT60,,,,,,
HT90,,,,,,
ITT,,,,,,
ITTT,,,,,,
MINM,,,,,,
MMRK,,,,,,
MMRKT,,,,,,
MQCAL,,,,,,
MQZER,,,,,,
MRCO,,,,,,
MSGGAI,,,,,,
MSGRCV,,,,,,
MXCO,,,,,,
NDSN,,,,,,
NLIM,,,,,,
NNOISE,,,,,,
NPHD,,,,,,
NPHI,,,,,,
NPHS,,,,,,
NRAT,,,,,,
NSDL,,,,,,
PELC,,,,,,
PEU,,,,,,
PKCODE,,,,,,
QDT,,,,,,
QL,,,,,,
QPE,,,,,,
QS,,,,,,
RHOB,,,,,,
RXRT,,,,,,
SDSO,,,,,,
SDT2,,,,,,
SP,,,,,,
SPA,,,,,,
SPDCOR,,,,,,
SPHI,,,,,,
STEM,,,,,,
STUCK,,,,,,
TENS,,,,,,
TPRES,,,,,,
TT1,,,,,,
TT11,,,,,,
TT12,,,,,,
TT2,,,,,,
TT21,,,,,,
TT22,,,,,,
TTEMP,,,,,,
VRES,,,,,,
XFRAC,,,,,,
ZB,,,,,,
ZM,,,,,,
HMRS2,,,,,,
HDRS2,,,,,,
