TDEP,AHT90,AHF90
72.0852,1.6036949,1.6393995
72.077576,1.6034303,1.6392939
72.069954,1.6031911,1.639136
72.06234,1.6026438,1.6389053
72.05472,1.6019325,1.6385543
72.0471,1.601242,1.63802
72.039474,1.5997698,1.6372436
72.03186,1.5976654,1.6361678
72.02424,1.5948687,1.6347889
72.01662,1.5915174,1.6332529
72.009,1.5877706,1.6323636
72.00138,1.5837162,1.6309068
71.99376,1.5811173,1.6287014
71.986145,1.5770408,1.6268528
71.97852,1.5734385,1.62757
71.9709,1.5725317,1.6288732
71.96328,1.573278,1.6311849
71.95566,1.5762292,1.6348679
71.948044,1.5821538,1.6401558
71.94042,1.5909765,1.6469072
71.9328,1.6027427,1.6547123
71.92518,1.6162989,1.6625365
71.91756,1.6354452,1.6639003
71.90994,1.6464168,1.6771065
71.90232,1.6650677,1.6909205
71.8947,1.6836337,1.704061
71.88708,1.7010641,1.7119052
71.879456,1.7212411,1.7150145
71.87184,1.7426972,1.7162439
71.86422,1.7537618,1.713942
71.8566,1.760583,1.7082274
71.848976,1.7217132,1.6986235
71.841354,1.6907727,1.6910303
71.83374,1.7072409,1.6844333
71.82612,1.6579655,1.6789883
71.8185,1.6338525,1.6764886
71.810875,1.6458025,1.675806
71.80325,1.6215825,1.67612
71.79564,1.6443697,1.677891
71.78802,1.6523675,1.6854557
71.780396,1.6811261,1.6953281
71.77278,1.6738976,1.6930884
71.76516,1.6718296,1.6946837
71.75754,1.684717,1.6975862
71.74992,1.6766949,1.7001517
71.7423,1.6816536,1.7024177
71.73468,1.6907899,1.7040389
71.72706,1.6824638,1.7046443
71.719444,1.6943337,1.7045827
71.71182,1.6812364,1.7044544
71.7042,1.6749091,1.7033271
71.69658,1.6676899,1.703172
71.68896,1.6624913,1.7044173
71.68134,1.6706998,1.7102512
71.67372,1.6915635,1.7182572
71.6661,1.7108141,1.727789
71.65848,1.716739,1.7343329
71.650856,1.7042791,1.7356541
71.64324,1.7075719,1.7394818
71.63562,1.6861268,1.7454494
71.628,1.6848748,1.7513012
71.62038,1.6966133,1.7568396
71.612755,1.7139258,1.7560192
71.60514,1.7219589,1.7545289
71.59752,1.7204173,1.7571311
71.5899,1.7359891,1.7563803
71.582275,1.7350874,1.7559249
71.57465,1.7289255,1.7584522
71.56704,1.7193944,1.7629284
71.55942,1.727182,1.7691579
71.551796,1.7319993,1.7772536
71.544174,1.7517402,1.7841794
71.53656,1.7608063,1.7894365
71.52894,1.7639483,1.796907
71.521324,1.7638359,1.804176
71.5137,1.763095,1.8108826
71.50608,1.768221,1.82008
71.49846,1.781108,1.8295232
71.490845,1.7961255,1.8375127
71.48322,1.7990329,1.8456757
71.4756,1.8152316,1.853505
71.46798,1.8120638,1.8607541
71.46036,1.8052413,1.8653439
71.45274,1.8041923,1.8665994
71.44512,1.8141518,1.8656831
71.4375,1.8328525,1.8629372
71.42988,1.821487,1.8580317
71.42226,1.8189287,1.851326
71.41464,1.8106331,1.8443065
71.40702,1.7976276,1.8374605
71.3994,1.7863091,1.8307035
71.39178,1.7788235,1.8262762
71.384155,1.7694002,1.820719
71.37654,1.7574353,1.8107765
71.36892,1.7398913,1.8008187
71.3613,1.7332388,1.7924547
71.353676,1.7242866,1.7917329
71.346054,1.7085336,1.7908967
71.33844,1.7033855,1.7925338
71.33082,1.6853296,1.7929987
71.3232,1.6739632,1.7909013
71.315575,1.7063022,1.7968556
71.30795,1.7424355,1.8017246
71.30034,1.7582589,1.8038353
71.29272,1.7865252,1.8014516
71.2851,1.7548815,1.7935486
71.27748,1.6969377,1.7793417
71.26986,1.6769174,1.757737
71.262245,1.6921856,1.7351543
71.25462,1.6932765,1.7238883
71.247,1.6471982,1.6996934
71.23938,1.5891141,1.6852762
71.23176,1.5620638,1.6825745
71.224144,1.594556,1.684673
71.21652,1.6621714,1.6895081
71.2089,1.6866962,1.6944708
71.20128,1.6975791,1.697557
71.19366,1.6731527,1.6918793
71.18604,1.6705136,1.6878536
71.17842,1.6685783,1.6894971
71.1708,1.6953855,1.6886951
71.16318,1.7374846,1.6850562
71.155556,1.726148,1.6811008
71.14794,1.7525545,1.6846735
71.14032,1.7482594,1.6854147
71.1327,1.7009958,1.6855154
71.12508,1.69002,1.6876631
71.117455,1.6678338,1.6916856
71.10984,1.6484914,1.6986783
71.10222,1.6543462,1.7106284
71.0946,1.6570077,1.7285208
71.086975,1.6834229,1.7585167
71.07935,1.7392474,1.7936062
71.07174,1.8069316,1.824861
71.06412,1.8744909,1.8452182
71.056496,1.9228964,1.8742995
71.04888,1.9457088,1.9051938
71.04126,1.9848839,1.9333957
71.03364,2.020784,1.9580034
71.026024,2.0493734,1.9794267
71.0184,2.079551,1.990342
71.01078,2.0932534,1.9857553
71.00316,2.081225,1.97794
70.995544,2.1080797,1.9691576
70.98792,2.1298435,1.960411
70.9803,2.126623,1.9523547
70.97268,2.151748,1.9434826
70.96506,2.137782,1.9403057
70.95744,2.1212292,1.9365586
70.94982,2.0919487,1.9340503
70.9422,2.0674293,1.9321448
70.93458,2.0684483,1.9297166
70.926956,2.0632262,1.9268029
70.91934,2.0399141,1.9226427
70.91172,1.9774995,1.91607
70.9041,1.8620497,1.9082481
70.89648,1.8611779,1.9003747
70.888855,1.8301097,1.8938146
70.88124,1.6232733,1.8927165
70.87362,1.6886321,1.8980942
70.866,1.8446006,1.8940066
70.858376,1.9969594,1.8932403
70.85075,1.8931096,1.8943769
70.84314,1.7939545,1.8991114
70.83552,1.6960413,1.9041425
70.827896,1.5593634,1.9061749
70.820274,1.5350052,1.9040732
70.81266,1.4808519,1.9028758
70.80504,1.4433694,1.9014319
70.79742,1.418946,1.9000698
70.7898,1.3903694,1.8947299
70.78218,1.4094703,1.8819594
70.77456,1.408657,1.8723835
70.766945,1.4240744,1.8820751
70.75932,1.452982,1.8993368
70.7517,1.4690866,1.925021
70.74408,1.5083828,1.9498383
70.73646,1.5493807,1.9742105
70.72884,1.6975251,2.0135267
70.72122,1.8636647,2.0576572
70.7136,2.1327982,2.070155
70.70598,2.323469,2.0641406
70.69836,2.30721,2.039019
70.69074,2.1210606,1.9975394
70.68312,1.8984741,1.9450274
70.6755,1.78063,1.8877896
70.66788,1.6625345,1.8427267
70.660255,1.5711647,1.7864693
70.65264,1.5628853,1.7444985
70.64502,1.572132,1.7143856
70.6374,1.5997404,1.6966125
70.629776,1.6352419,1.6934241
70.622154,1.6703392,1.7024274
70.61454,1.7014157,1.7181028
70.60692,1.729564,1.7379166
70.5993,1.7539198,1.7577841
70.591675,1.8096093,1.7723904
70.58405,1.8535105,1.797153
70.57644,1.8706325,1.819373
70.56882,1.8804287,1.8332698
70.561195,1.8795598,1.8457577
70.55358,1.8816051,1.8564032
70.54596,1.8815376,1.8652706
70.538345,1.8813658,1.8730904
70.53072,1.8758764,1.8799074
70.5231,1.8756828,1.8857336
70.51548,1.8945215,1.890915
70.50786,1.9003682,1.8957715
70.500244,1.9189734,1.8987523
70.49262,1.9014381,1.8994218
70.485,1.8940176,1.8999394
70.47738,1.8908107,1.9006182
