TDEP,HDRA,PEFZ,RHOZ
720.852,-999.25,-999.25,-999.25
720.8012,-999.25,-999.25,-999.25
720.75037,-999.25,-999.25,-999.25
720.6996,-999.25,-999.25,-999.25
720.6488,-999.25,-999.25,-999.25
720.59796,-999.25,-999.25,-999.25
720.5472,-999.25,-999.25,-999.25
720.4964,-999.25,-999.25,-999.25
720.4456,-999.25,-999.25,-999.25
720.3948,-999.25,-999.25,-999.25
720.344,-999.25,-999.25,-999.25
720.2932,-999.25,-999.25,-999.25
720.2424,-999.25,-999.25,-999.25
720.1916,-999.25,-999.25,-999.25
720.1408,-999.25,-999.25,-999.25
720.08997,-999.25,-999.25,-999.25
720.0392,-999.25,-999.25,-999.25
719.9884,-999.25,-999.25,-999.25
719.93756,-999.25,-999.25,-999.25
719.8868,-999.25,-999.25,-999.25
719.836,-999.25,-999.25,-999.25
719.7852,-999.25,-999.25,-999.25
719.7344,-999.25,-999.25,-999.25
719.6836,-999.25,-999.25,-999.25
719.6328,-999.25,-999.25,-999.25
719.582,-999.25,-999.25,-999.25
719.5312,-999.25,-999.25,-999.25
719.4804,-999.25,-999.25,-999.25
719.42957,-999.25,-999.25,-999.25
719.3788,-999.25,-999.25,-999.25
719.328,-999.25,-999.25,-999.25
719.2772,2.1458359,4.8051357,2.1960483
719.2264,1.9050839,4.846204,2.1935446
719.1756,1.6651204,4.845949,2.1918442
719.1248,1.4257013,4.8449063,2.1906936
719.074,1.1863534,4.8437114,2.1896162
719.0232,0.9470037,4.8423386,2.1885378
718.9724,0.70764625,4.8408246,2.1874523
718.9216,0.46809983,4.836958,2.1861784
718.8708,0.22883856,4.836666,2.18519
718.82,0.22871244,4.8361893,2.185125
718.76917,0.22866869,4.8371944,2.1851058
718.7184,0.2284174,4.834482,2.1848648
718.6676,0.22847784,4.835478,2.1849298
718.6168,0.22855067,4.8365664,2.1850054
718.566,0.22863352,4.8377566,2.18509
718.5152,0.22842908,4.8353024,2.184887
718.4644,0.2287054,4.8388205,2.185164
718.4136,0.22840619,4.835135,2.184865
718.3628,0.22840238,4.8350735,2.1848612
718.312,0.22839928,4.835028,2.184858
718.26117,0.22869325,4.8387003,2.185152
718.2104,0.228405,4.835122,2.1848636
718.1596,0.22840405,4.835111,2.1848629
718.10876,0.22840118,4.835053,2.18486
718.058,0.22869325,4.8387,2.185152
718.0072,0.22840285,4.8350835,2.1848617
717.9564,0.22869277,4.8386855,2.1851516
717.9056,0.22840261,4.8350754,2.1848612
717.8548,0.22840261,4.8350754,2.1848612
717.804,0.22840261,4.835078,2.1848612
717.7532,0.22869301,4.8386846,2.1851516
717.7024,0.22840285,4.8350754,2.1848612
717.6516,0.22840261,4.8350744,2.1848612
717.60077,0.22840261,4.8350754,2.1848612
717.55,0.22869253,4.838682,2.185151
717.4992,0.22840261,4.8350735,2.1848612
717.44836,0.2286923,4.8386803,2.185151
717.3976,0.22840238,4.835073,2.184861
717.3468,0.22840214,4.835073,2.184861
717.296,0.22840214,4.8350735,2.184861
717.2452,0.2286923,4.8386807,2.185151
717.1944,0.22840238,4.8350735,2.184861
717.1436,0.22840214,4.8350735,2.184861
717.0928,0.22840214,4.8350735,2.184861
717.042,0.2286923,4.8386817,2.185151
716.9912,0.22840261,4.8350735,2.1848612
716.94037,0.2286923,4.83868,2.185151
716.8896,0.22840261,4.8350725,2.1848612
716.8388,0.22840261,4.8350725,2.1848612
716.78796,0.22840261,4.8350735,2.1848612
716.7372,0.2286923,4.8386807,2.185151
716.6864,0.22840261,4.8350735,2.1848612
