TDEP,BS,GR,NPHI,DT
67.11696,8.5,47.26149,0.26395753,82.79398
67.10172,8.5,47.26149,0.26395753,82.79398
67.08648,8.5,47.26149,0.26395753,82.79398
67.07124,8.5,47.26149,0.26395753,82.79398
67.056,8.5,47.26149,0.26395753,82.79398
67.04076,8.5,47.26149,0.26395753,82.79398
67.02552,8.5,47.26149,0.26395753,82.79398
67.01028,8.5,47.26149,0.26395753,82.79398
66.99504,8.5,47.26149,0.26395753,82.79398
66.9798,8.5,47.26149,0.26395753,82.79398
66.964554,8.5,47.26149,0.26395753,82.79398
66.94932,8.5,47.26149,0.26395753,82.79398
66.934074,8.5,47.26149,0.26395753,82.79398
66.91884,8.5,47.26149,0.26395753,82.79398
66.9036,8.5,47.26149,0.26395753,82.79398
66.88836,8.5,47.26149,0.26395753,82.79398
66.87312,8.5,47.26149,0.26395753,82.79398
66.85788,8.5,47.26149,0.26395753,82.79398
66.84264,8.5,47.26149,0.26395753,82.79398
66.8274,8.5,47.26149,0.26395753,82.79398
66.81216,8.5,47.26149,0.26395753,82.79398
66.79692,8.5,47.26149,0.26395753,82.79398
66.78168,8.5,47.26149,0.26395753,82.79398
66.76644,8.5,47.26149,0.26395753,82.79398
66.7512,8.5,47.26149,0.26395753,82.79398
66.735954,8.5,47.26149,0.26395753,82.79398
66.72072,8.5,47.26149,0.26395753,82.79398
66.705475,8.5,47.26149,0.26395753,82.79398
66.69024,8.5,47.26149,0.26395753,82.79398
66.674995,8.5,47.26149,0.26395753,82.79398
66.65976,8.5,47.26149,0.26395753,82.79398
66.64452,8.5,47.26149,0.26395753,82.79398
66.62928,8.5,47.26149,0.26395753,82.79398
66.614044,8.5,47.26149,0.26395753,82.79398
66.5988,8.5,47.26149,0.26395753,82.79398
66.58356,8.5,47.26149,0.26395753,82.79398
66.56832,8.5,47.26149,0.26395753,82.79398
66.55308,8.5,47.26149,0.26395753,83.00998
66.53784,8.5,47.26149,0.26395753,82.52178
66.5226,8.5,47.26149,0.26395753,81.99078
66.507355,8.5,47.26149,0.26395753,81.7875
66.49212,8.5,47.26149,0.26395753,81.61673
66.476875,8.5,47.26149,0.26395753,81.65243
66.46164,8.5,47.26149,0.26395753,81.90929
66.446396,8.5,47.26149,0.26395753,83.18089
66.43116,8.5,47.26149,0.26395753,85.400055
66.415924,8.5,47.26149,0.26395753,87.1098
66.40068,8.5,47.26149,0.26395753,93.18437
66.385445,8.5,47.26149,0.26395753,92.75928
66.3702,8.5,47.26149,0.26395753,93.98765
66.35496,8.5,47.26149,0.26395753,95.371086
66.33972,8.5,47.26149,0.26395753,91.88299
66.32448,8.5,47.26149,0.26395753,89.69271
66.30924,8.5,47.26149,0.26395753,85.153496
66.294,8.5,47.26149,0.26395753,86.16976
66.278755,8.5,47.26149,0.26395753,78.51503
66.26352,8.5,47.26149,0.26395753,78.125725
66.248276,8.5,47.26149,0.26395753,80.739784
66.23304,8.5,47.26149,0.26395753,83.58342
66.2178,8.5,47.26149,0.26395753,91.106224
66.20256,8.5,47.26149,0.26395753,92.9143
66.18732,8.5,47.26149,0.26395753,92.37914
66.17208,8.5,47.26149,0.26395753,90.225006
66.156845,8.5,47.26149,0.26395753,90.880554
66.1416,8.5,47.26149,0.26395753,90.88375
66.12636,8.5,47.26149,0.26395753,88.23607
66.11112,8.5,47.26149,0.26395753,87.922714
66.09588,8.5,47.26149,0.26395753,87.48013
66.08064,8.5,47.26149,0.26395753,87.86666
66.0654,8.5,47.26149,0.26395753,90.44288
66.050156,8.5,47.26149,0.26395753,91.551544
66.03492,8.5,47.26149,0.22647193,91.6753
66.01968,8.5,47.26149,0.2246126,90.61579
66.00444,8.5,47.26149,0.22357966,88.30392
