FRAMENO,TDEP,TIME,HCAL
1,264240.0,0.0,3.887136
2,264230.0,0.0,3.887136
3,264220.0,0.0,3.887136
4,264210.0,0.0,3.887136
5,264200.0,0.0,3.887136
6,264190.0,0.0,3.887136
7,264180.0,0.0,3.887136
8,264170.0,313.1665,3.887136
9,264160.0,313.1665,3.887136
10,264150.0,313.1665,3.887136
11,264140.0,313.1665,3.887136
12,264130.0,313.1665,3.887136
13,264120.0,313.16748,3.887136
14,264110.0,216.25,3.887136
15,264100.0,216.25,3.887136
16,264090.0,216.25,3.887136
17,264080.0,216.25,3.887136
18,264070.0,216.25,3.887136
19,264060.0,216.25,3.887136
20,264050.0,188.5,3.887136
21,264040.0,188.5,3.887136
22,264030.0,188.5,3.887136
23,264020.0,188.5,3.887136
24,264010.0,188.5,3.887136
25,264000.0,188.5,3.887136
26,263990.0,182.5,3.887136
27,263980.0,182.5,3.887136
28,263970.0,182.5,3.887136
29,263960.0,182.5,3.887136
30,263950.0,182.5,3.887136
31,263940.0,182.5,3.887136
32,263930.0,170.58301,3.887136
33,263920.0,170.58301,3.887136
34,263910.0,170.58301,3.887136
35,263900.0,170.58301,3.887136
36,263890.0,170.58301,3.887136
37,263880.0,170.58496,3.887136
38,263870.0,156.83301,3.887136
39,263860.0,156.83301,3.887136
40,263850.0,156.83301,3.887136
41,263840.0,156.83301,3.887136
42,263830.0,156.83301,3.887136
43,263820.0,156.83496,3.887136
44,263810.0,137.41699,3.887136
45,263800.0,137.41699,3.887136
46,263790.0,137.41699,3.887136
47,263780.0,137.41699,3.887136
48,263770.0,137.41699,3.887136
49,263760.0,137.41504,3.887136
50,263750.0,133.83301,3.887136
51,263740.0,133.83301,3.887136
52,263730.0,133.83301,3.887136
53,263720.0,133.83301,3.887136
54,263710.0,133.83301,3.887136
55,263700.0,133.83496,3.887136
56,263690.0,125.875,3.887136
57,263680.0,125.875,3.887136
58,263670.0,125.875,3.887136
59,263660.0,125.875,3.887136
60,263650.0,125.875,3.887136
61,263640.0,125.875,3.887136
62,263630.0,127.95801,3.887136
63,263620.0,127.95801,3.887136
64,263610.0,127.95801,3.887136
65,263600.0,127.95801,3.887136
66,263590.0,127.95801,3.887136
67,263580.0,127.95996,3.887136
68,263570.0,122.5,3.887136
69,263560.0,122.5,3.887136
70,263550.0,122.5,3.887136
71,263540.0,122.5,3.887136
72,263530.0,122.5,3.887136
73,263520.0,122.5,3.887136
74,263510.0,117.33301,3.887136
75,263500.0,117.33301,3.887136
76,263490.0,117.33301,3.887136
77,263480.0,117.33301,3.887136
78,263470.0,117.33301,3.887136
79,263460.0,117.33496,3.887136
80,263450.0,112.416016,3.887136
81,263440.0,112.416016,3.887136
82,263430.0,112.416016,3.887136
83,263420.0,112.416016,3.887136
84,263410.0,112.416016,3.887136
85,263400.0,112.41992,3.887136
86,263390.0,110.583984,3.887136
87,263380.0,110.583984,3.887136
88,263370.0,110.583984,3.887136
89,263360.0,110.583984,3.887136
90,263350.0,110.583984,3.887136
91,263340.0,110.58008,3.887136
92,263330.0,105.75,3.887136
93,263320.0,105.75,3.887136
94,263310.0,105.75,3.887136
95,263300.0,105.75,3.887136
96,263290.0,105.75,3.887136
97,263280.0,105.75,3.887136
98,263270.0,104.0,3.887136
99,263260.0,104.0,3.887136
100,263250.0,104.0,3.887136
101,263240.0,104.0,3.887136
102,263230.0,104.0,3.887136
103,263220.0,104.0,3.887136
104,263210.0,103.25,3.887136
105,263200.0,103.25,3.887136
106,263190.0,103.25,3.887136
107,263180.0,103.25,3.887136
108,263170.0,103.25,3.887136
109,263160.0,103.25,3.887136
110,263150.0,101.666016,3.887136
111,263140.0,101.666016,3.887136
112,263130.0,101.666016,3.887136
113,263120.0,101.666016,3.887136
114,263110.0,101.666016,3.887136
115,263100.0,101.66992,3.887136
116,263090.0,95.333984,3.887136
117,263080.0,95.333984,3.887136
118,263070.0,95.333984,3.887136
119,263060.0,95.333984,3.887136
120,263050.0,95.333984,3.887136
121,263040.0,95.33008,3.887136
122,263030.0,100.083984,3.887136
123,263020.0,100.083984,3.887136
124,263010.0,100.083984,3.887136
125,263000.0,100.083984,3.887136
126,262990.0,100.083984,3.887136
127,262980.0,100.08008,3.887136
128,262970.0,96.208984,3.887136
129,262960.0,96.208984,3.887136
130,262950.0,96.208984,3.887136
131,262940.0,96.208984,3.887136
132,262930.0,96.208984,3.887136
133,262920.0,96.20508,3.887136
134,262910.0,94.0,3.887136
135,262900.0,94.0,3.887136
136,262890.0,94.0,3.887136
137,262880.0,94.0,3.887136
138,262870.0,94.0,3.887136
139,262860.0,94.0,3.887136
140,262850.0,92.125,3.887136
141,262840.0,92.125,3.887136
142,262830.0,92.125,3.887136
143,262820.0,92.125,3.887136
144,262810.0,92.125,3.887136
145,262800.0,92.125,3.887136
146,262790.0,93.333984,3.887136
147,262780.0,93.333984,3.887136
148,262770.0,93.333984,3.887136
149,262760.0,93.333984,3.887136
150,262750.0,93.333984,3.887136
151,262740.0,93.33008,3.887136
152,262730.0,89.25,3.887136
153,262720.0,89.25,3.887136
154,262710.0,89.25,3.887136
155,262700.0,89.25,3.887136
156,262690.0,89.25,3.887136
157,262680.0,89.25,3.887136
158,262670.0,91.5,3.887136
159,262660.0,91.5,3.887136
160,262650.0,91.5,3.887136
161,262640.0,91.5,3.887136
162,262630.0,91.5,3.887136
163,262620.0,91.5,3.887136
164,262610.0,85.416016,3.887136
165,262600.0,85.416016,3.887136
166,262590.0,85.416016,3.887136
167,262580.0,85.416016,3.887136
168,262570.0,85.416016,3.887136
169,262560.0,85.41992,3.887136
170,262550.0,87.458984,3.887136
171,262540.0,87.458984,3.887136
172,262530.0,87.458984,3.887136
173,262520.0,87.458984,3.887136
174,262510.0,87.458984,3.887136
175,262500.0,87.45508,3.887136
176,262490.0,86.541016,3.887136
177,262480.0,86.541016,3.887136
178,262470.0,86.541016,3.887136
179,262460.0,86.541016,3.887136
180,262450.0,86.541016,3.887136
181,262440.0,86.54492,3.887136
182,262430.0,88.75,3.887136
183,262420.0,88.75,3.887136
184,262410.0,88.75,3.887136
185,262400.0,88.75,3.887136
186,262390.0,88.75,3.887136
187,262380.0,88.75,3.887136
188,262370.0,87.0,3.887136
189,262360.0,87.0,3.887136
190,262350.0,87.0,3.887136
191,262340.0,87.0,3.887136
192,262330.0,87.0,3.887136
193,262320.0,87.0,3.887136
194,262310.0,86.416016,3.887136
195,262300.0,86.416016,3.887136
196,262290.0,86.416016,3.887136
197,262280.0,86.416016,3.887136
198,262270.0,86.416016,3.887136
