TDEP,AHF90
671.1696,0.8127777
671.0934,0.81280535
671.0172,0.8127714
670.941,0.81208324
670.8648,0.8114943
670.7886,0.81091076
670.7124,0.8101672
670.63617,0.8093323
670.56,0.8090508
670.48376,0.80836856
670.4076,0.80669874
670.3314,0.8053303
670.2552,0.8047148
670.179,0.8044273
670.1028,0.8050956
670.0266,0.80590147
669.9504,0.8064117
669.8742,0.80921507
669.798,0.81305194
669.7218,0.8148906
669.64557,0.8193257
669.5694,0.8234906
669.49316,0.8265124
669.417,0.82824546
669.3408,0.8287401
669.2646,0.8279813
669.1884,0.8257001
669.1122,0.8215055
669.036,0.812905
668.9598,0.8028224
668.8836,0.7978577
668.8074,0.79454625
668.7312,0.785415
668.65497,0.7757478
668.5788,0.7663478
668.50256,0.75872684
668.4264,0.7578915
668.3502,0.7639973
668.274,0.77397573
668.1978,0.78906673
668.1216,0.80864036
668.0454,0.82518464
667.9692,0.8472656
667.893,0.8761696
667.8168,0.8964745
667.7406,0.90669507
667.66437,0.9068924
667.5882,0.898226
667.51196,0.88353384
667.4358,0.8657398
667.3596,0.8513887
667.2834,0.82917297
667.2072,0.81811607
667.131,0.8119201
667.0548,0.81093144
666.9786,0.81456554
666.9024,0.82192314
666.8262,0.83166915
666.75,0.84056205
666.67377,0.853773
666.5976,0.8626932
666.52136,0.87084687
666.4452,0.87799805
666.369,0.88504964
666.2928,0.893498
666.2166,0.9003822
666.1404,0.90589416
666.0642,0.91138726
665.988,0.9191056
665.9118,0.9282807
665.8356,0.93786657
665.7594,0.9476519
665.68317,0.9576779
665.607,0.9712115
665.53076,0.98886585
665.4546,1.010114
665.3784,1.0352142
665.3022,1.0604196
665.226,1.0894068
665.1498,1.1185298
665.0736,1.1463778
664.9974,1.1715506
664.9212,1.192666
664.845,1.2086328
664.7688,1.218873
664.69257,1.2235677
664.6164,1.2167848
664.5402,1.2068875
664.464,1.1957537
664.3878,1.1825582
664.3116,1.16571
664.2354,1.1450375
664.1592,1.121685
664.083,1.0966314
664.0068,1.0705202
663.9306,1.0515189
663.8544,1.0220886
663.7782,0.9955457
663.70197,0.9726871
663.6258,0.95407844
663.5496,0.94015974
663.4734,0.931199
663.3972,0.92720515
663.321,0.9279378
663.2448,0.9330378
663.1686,0.94253135
663.0924,0.95691866
663.0162,0.97852975
662.94,1.0054997
662.8638,1.0276976
662.7876,1.0545783
662.71136,1.0780336
662.6352,1.095382
662.559,1.1046549
662.4828,1.1049651
662.4066,1.0966307
662.3304,1.0811458
662.2542,1.0611916
662.178,1.0400736
662.1018,1.0326867
662.0256,1.0196521
661.9494,1.0078778
661.87317,1.000088
661.797,0.9951822
661.72076,0.99266016
661.6446,0.99272656
661.5684,0.9978453
661.4922,0.9957971
661.416,0.99520683
661.3398,0.99432105
661.2636,0.99236274
661.1874,0.9878118
661.1112,0.9805348
661.035,0.9723448
660.9588,0.9627546
660.88257,0.9500382
660.8064,0.9318998
660.73016,0.90877724
660.654,0.8831868
660.5778,0.85950404
660.5016,0.83514637
660.4254,0.8142325
660.3492,0.7975708
660.273,0.7851324
660.1968,0.77661973
660.1206,0.77178437
660.0444,0.77057225
659.9682,0.77310294
659.89197,0.77948725
659.8158,0.7896781
659.73956,0.8032994
659.6634,0.82022125
659.5872,0.8413555
659.511,0.86837083
659.4348,0.9040056
659.3586,0.9488631
659.2824,0.9945901
659.2062,1.048645
659.13,1.1033411
659.0538,1.1537102
658.9776,1.194376
658.90137,1.2199438
658.8252,1.2258475
658.74896,1.2103631
658.6728,1.1766237
658.5966,1.1325103
658.5204,1.087434
658.4442,1.0628806
658.368,1.0376396
658.2918,1.0106286
658.2156,0.9904569
658.1394,0.9857707
658.0632,0.9856571
657.987,0.9866441
657.91077,0.9798015
657.8346,0.9732006
657.75836,0.9650928
657.6822,0.9574788
657.606,0.94982594
657.5298,0.9378539
657.4536,0.9242558
657.3774,0.91924524
657.3012,0.91837186
657.225,0.9202769
657.1488,0.9244833
657.0726,0.9303902
656.9964,0.93776006
656.92017,0.9465909
656.844,0.95678324
656.7678,0.9679063
656.6916,0.98043925
656.6154,0.9958767
656.5392,1.0081383
656.463,1.0219538
656.3868,1.0360805
656.3106,1.0488226
656.2344,1.0585428
656.1582,1.0641286
656.082,1.0645719
656.0058,1.0583847
655.92957,1.0434915
655.8534,1.0251248
655.7772,1.0107036
655.701,0.99394727
655.6248,0.98005533
655.5486,0.9707393
655.4724,0.9668794
655.3962,0.96934783
655.32,0.9783028
655.2438,0.99356234
655.1676,1.012736
655.0914,1.030807
655.0152,1.0486404
654.93896,1.0617346
654.8628,1.0673745
654.7866,1.0643569
654.7104,1.0533108
654.6342,1.03569
654.558,1.0126765
654.4818,0.9859653
654.4056,0.9574759
654.3294,0.9209159
654.2532,0.8951709
654.177,0.86986744
654.10077,0.84572583
654.0246,0.8247428
653.94836,0.80820304
653.8722,0.79714733
653.796,0.7920771
653.7198,0.79299283
653.6436,0.799551
653.5674,0.8109982
653.4912,0.8261865
653.415,0.8450986
653.3388,0.8636359
653.2626,0.8820984
653.1864,0.89984834
653.11017,0.9153005
653.034,0.92792517
652.95776,0.93772596
652.8816,0.9452302
652.8054,0.94581383
652.7292,0.94292104
652.653,0.9392677
652.5768,0.9395559
652.5006,0.9376198
652.4244,0.93372387
652.3482,0.9322913
652.272,0.93495744
652.1958,0.94087005
652.11957,0.9506943
652.0434,0.96670157
651.96716,0.9875646
651.891,1.0132847
651.8148,1.0434381
651.7386,1.0793488
651.6624,1.1217123
651.5862,1.1576961
651.51,1.2009121
651.4338,1.2471131
651.3576,1.2940217
651.2814,1.340122
651.2052,1.3815233
651.12897,1.4069883
651.0528,1.4203066
650.97656,1.427039
650.9004,1.4317607
650.8242,1.45476
650.748,1.4801813
650.6718,1.4912497
650.5956,1.5044482
650.5194,1.5397137
650.4432,1.5798588
650.367,1.6226969
650.2908,1.6622038
650.2146,1.6922551
650.13837,1.7357273
650.0622,1.7812853
649.98596,1.8271022
649.9098,1.8936446
649.8336,1.9442791
649.7574,1.9733838
649.6812,1.9865905
649.605,1.9827002
649.5288,1.9628178
649.4526,1.9292996
649.3764,1.8857181
649.3002,1.8375242
649.224,1.7905717
649.14777,1.7490393
649.0716,1.7149843
648.9954,1.6890187
648.9192,1.6718612
648.843,1.6654624
648.7668,1.6721507
648.6906,1.692704
648.6144,1.7254567
648.5382,1.7584586
648.462,1.8096737
648.3858,1.8474497
648.3096,1.871351
648.2334,1.8744657
648.15717,1.8527086
648.081,1.8049607
648.0048,1.7330292
647.9286,1.6372917
647.8524,1.5231028
647.7762,1.4143124
647.7,1.3159382
647.6238,1.2289088
647.5476,1.1523111
647.4714,1.0879047
647.3952,1.0370485
647.319,0.9994981
647.2428,0.97241116
647.16656,0.95245546
647.0904,0.9375088
647.0142,0.92901695
646.938,0.9158007
646.8618,0.89831823
646.7856,0.8820467
646.7094,0.8657369
646.6332,0.8494964
646.557,0.8362805
646.4808,0.82372624
646.4046,0.81199074
646.32837,0.80118716
646.2522,0.7913223
646.17596,0.7814298
646.0998,0.7729494
646.0236,0.76637
645.9474,0.760666
645.8712,0.75676334
645.795,0.757695
645.7188,0.7582849
645.6426,0.754179
645.5664,0.7563117
645.4902,0.7578668
645.414,0.7578482
645.33777,0.7554929
645.2616,0.7503515
645.18536,0.74223435
645.1092,0.72841746
645.033,0.7113976
644.9568,0.6976672
644.8806,0.68815756
644.8044,0.67383295
644.7282,0.6610131
644.652,0.65032053
644.5758,0.64213955
644.4996,0.63650596
644.4234,0.63403136
644.34717,0.63391584
644.271,0.63491786
644.19476,0.6368648
644.1186,0.64014417
644.0424,0.6456727
643.9662,0.6546062
643.89,0.6680271
643.8138,0.6871835
643.7376,0.7175388
643.6614,0.7558644
643.5852,0.8021519
643.509,0.8491497
