FRAMENO,TDEP,DSOZ,HDRA,PEFZ,RHOZ,RXOZ,TIME,RSOZ
12715,25.298399,0.42810518,0.17865384,9.243673,2.14924,0.057364136,275.0,0.24444425
12712,25.4508,0.42810518,0.17865384,9.243673,2.14924,0.057364136,270.0,0.24444425
12709,25.603199,0.42810518,0.17865384,9.243673,2.14924,0.057136953,275.0,0.24035944
12706,25.7556,0.42810518,0.17865384,9.243673,2.14924,0.056333456,269.5,0.2412824
12703,25.907999,0.42810518,0.17865384,9.243673,2.14924,0.05702409,271.0,0.2568345
12700,26.0604,0.42810518,0.17865384,9.243673,2.14924,0.057231203,268.0,0.25764823
12697,26.2128,0.42810518,0.17865384,9.243673,2.14924,0.057467196,268.5,0.26986772
12694,26.3652,0.42810518,0.17865384,9.243673,2.14924,0.05606083,275.0,0.2668151
12691,26.5176,0.42810518,0.17865384,9.243673,2.14924,0.0555772,274.5,0.2565719
12688,26.67,0.42810518,0.17865384,9.243673,2.14924,0.055719595,266.5,0.24472848
12685,26.8224,0.42810518,0.17865384,9.243673,2.14924,0.056208253,270.0,0.23519266
12682,26.9748,0.42810518,0.17865384,9.243673,2.14924,0.05663734,274.0,0.24749622
12679,27.1272,0.42810518,0.17865384,9.243673,2.14924,0.056427192,268.0,0.2655953
12676,27.2796,0.4311124,0.17598164,9.225255,2.1473656,0.056144696,265.5,0.26056886
12673,27.432,0.42852092,0.16871071,9.196823,2.136273,0.056511264,274.0,0.2633011
12670,27.5844,0.42771864,0.1634711,9.161938,2.1266122,0.057209637,270.0,0.25020528
12667,27.7368,0.42999735,0.16102087,9.154418,2.116633,0.057526674,270.0,0.26018628
12664,27.8892,0.43695727,0.16200173,9.155727,2.1143174,0.05643463,274.0,0.2488157
12661,28.0416,0.44191208,0.16609359,9.183659,2.11771,0.056732826,272.0,0.24693975
12658,28.194,0.43734735,0.16743529,9.219519,2.1204667,0.05715714,270.5,0.25238684
12655,28.3464,0.43270746,0.16921425,9.264508,2.12485,0.057032913,276.0,0.24913056
12652,28.4988,0.4282311,0.16904342,9.303189,2.1277988,0.056405537,272.0,0.2515704
12649,28.6512,0.4315647,0.17524648,9.320822,2.1418505,0.055384606,271.0,0.23923591
12646,28.8036,0.43314475,0.18215764,9.346289,2.154303,0.05557506,275.0,0.2535824
12643,28.956,0.43280512,0.18695593,9.389378,2.166708,0.055303533,275.5,0.2519683
12640,29.1084,0.4312018,0.19021416,9.415719,2.1956482,0.05571505,274.0,0.2569539
12637,29.2608,0.43195885,0.19738102,9.4039955,2.252497,0.056128163,268.5,0.2526887
12634,29.4132,0.4373561,0.21089816,9.354404,2.3185651,0.056436222,274.0,0.2356622
12631,29.5656,0.4363538,0.21262479,9.318675,2.3287072,0.05733687,267.5,0.24146868
12628,29.718,0.42314965,0.19677782,9.29699,2.2696714,0.057376463,273.5,0.23922265
12625,29.8704,0.41003036,0.17579627,9.274331,2.1911867,0.05754559,266.5,0.25732446
