TDEP,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE
25.146,8.5,,,60.82278,,60.0,,,0.48407942,
25.298399,8.5,3.8234913,-4.676509,60.82278,7.0442214,60.0,2.149240016937256,,0.48407942,
25.4508,8.5,3.8022764,-4.6977234,59.372772,7.0442214,60.0,2.149240016937256,,0.46084931,
25.603199,8.5,3.8128839,-4.687116,59.507236,7.0442214,60.0,2.149240016937256,,0.45951796,
25.7556,8.5,3.8128839,-4.687116,59.6884,7.0442214,60.0,2.149240016937256,,0.46336558,
25.907999,8.5,3.8022764,-4.6977234,59.822315,7.0442214,60.0,2.149240016937256,,0.48383242,
26.0604,8.5,3.8128839,-4.687116,63.199627,7.0442214,60.0,2.149240016937256,,0.5424395,
26.2128,8.5,3.8128839,-4.687116,63.332813,7.0442214,60.0,2.149240016937256,,0.5747539,
26.3652,8.5,3.8234913,-4.676509,64.22317,7.0442214,60.0,2.149240016937256,,0.5584239,
26.5176,8.5,3.8128839,-4.687116,62.60065,7.0442214,60.0,2.149240016937256,,0.5468772,
26.67,8.5,3.8164196,-4.6835804,62.60065,7.0442214,60.0,2.149240016937256,,0.52955794,
26.8224,8.5,3.8022764,-4.6977234,61.869034,7.0442214,60.0,2.149240016937256,,0.54387134,
26.9748,8.5,3.8022764,-4.6977234,61.57657,7.0442214,60.0,2.149240016937256,,0.55431277,
27.1272,8.5,3.8128839,-4.687116,64.22353,7.0442214,60.0,2.149240016937256,,0.5632988,
27.2796,8.5,3.8128839,-4.687116,65.81959,7.0442214,60.0,2.1473655700683594,,0.57163113,
27.432,8.5,3.8022764,-4.6977234,66.85663,7.0442214,60.0,2.13627290725708,,0.5559614,
27.5844,8.5,3.8234913,-4.676509,59.23776,7.0442214,60.0,2.1266121864318848,,0.5621621,
27.7368,8.5,3.8128839,-4.687116,63.78142,7.0442214,60.0,2.1166329383850098,,0.58282864,
27.8892,8.5,3.8128839,-4.687116,63.183086,7.0442214,60.0,2.1143174171447754,,0.5861526,
28.0416,8.5,3.8234913,-4.676509,66.85122,7.0442214,60.0,2.1177101135253906,,0.57847524,
28.194,8.5,3.8128839,-4.687116,62.015087,7.0442214,60.0,2.120466709136963,,0.5481652,
28.3464,8.5,3.8128839,-4.687116,62.613422,7.0442214,60.0,2.124850034713745,,0.5275481,
28.4988,8.5,3.8022764,-4.6977234,65.08706,7.0442214,60.0,2.1277987957000732,,0.53998774,
28.6512,8.5,3.8234913,-4.676509,63.05185,7.0442214,60.0,2.141850471496582,,0.53664756,
28.8036,8.5,3.8128839,-4.687116,60.26002,7.0442214,60.0,2.1543030738830566,,0.5329184,
28.956,8.5,3.8128839,-4.687116,64.37095,7.0442214,60.0,2.166707992553711,,0.5483057,
29.1084,8.5,3.8128839,-4.687116,63.48151,7.0442214,60.0,2.195648193359375,,0.5488271,
29.2608,8.5,3.8128839,-4.687116,64.389946,7.0442214,60.0,2.2524969577789307,,0.56042653,
29.4132,8.5,3.8234913,-4.676509,53.85084,7.0442214,60.0,2.3185651302337646,,0.5293084,
29.5656,8.5,3.8234913,-4.676509,53.9348,7.0442214,60.0,2.328707218170166,,0.49810964,
29.718,8.5,3.8234913,-4.676509,53.213596,7.0442214,60.0,2.2696714401245117,,0.50700295,
29.8704,8.5,3.8022764,-4.6977234,59.274494,7.0442214,60.0,2.1911866664886475,,0.49435788,
30.0228,8.5,3.8164196,-4.6835804,59.787323,7.0442214,60.0,2.1459450721740723,,0.5333213,
30.1752,8.5,3.8022764,-4.6977234,62.20569,7.0442214,60.0,2.139404058456421,,0.5434891,
30.3276,8.5,3.8128839,-4.687116,65.22066,7.0442214,60.0,2.14376163482666,,0.55806094,
30.48,8.5,3.8128839,-4.687116,65.026955,7.0442214,60.0,2.1434502601623535,,0.5885579,
30.6324,8.5,3.8128839,-4.687116,67.99334,7.0442214,60.0,2.1448779106140137,,0.5457806,
30.7848,8.5,3.8022764,-4.6977234,66.80797,7.0442214,60.0,2.1432573795318604,,0.53742766,
30.9372,8.5,3.8234913,-4.676509,68.75756,7.0442214,60.0,2.141327142715454,,0.49736595,
