TDEP,GR,RESD,BS,CAL,DCAL,NPHI,PE,DRHO,RHOB,DTC
10500.0,24.739817,,8.5,,,0.69027877,,,,
10560.0,24.739817,,8.5,,,0.69027877,,,,
10620.0,25.01545,,8.5,,,0.69027877,,,,
10680.0,20.519228,,8.5,,,0.66418266,,,,
10740.0,19.685118,,8.5,,,0.6848384,,,,
10800.0,22.182463,,8.5,,,0.71548176,,,,
10860.0,22.849752,,8.5,,,0.76799965,,,,
10920.0,25.518911,,8.5,,,0.8449029,,,,
10980.0,24.016136,,8.5,,,0.8491956,,,,
11040.0,24.182959,,8.5,,,0.83945584,,,,
11100.0,23.348845,,8.5,,,0.7684238,,,,
11160.0,23.021563,,8.5,,,0.76379526,,,,
11220.0,23.981451,,8.5,,,0.7752862,,,,
11280.0,21.769999,,8.5,,,0.7501621,,,,
11340.0,21.939596,,8.5,,,0.7350594,,,,
11400.0,22.495394,,8.5,,,0.69780654,,,,
11460.0,25.83122,,8.5,,,0.6858922,,,,
11520.0,24.904121,,8.5,,,0.6413193,,,,
11580.0,25.138433,,8.5,,,0.59208816,,,,
11640.0,24.880898,,8.5,,,0.56349766,,,,
11700.0,23.718771,,8.5,,,0.55234784,,,,
11760.0,22.008188,,8.5,,,0.616287,,,,
11820.0,19.763855,,8.5,,,0.68692183,,,,
11880.0,19.993486,,8.5,,,0.6736216,,,,
11940.0,19.0613,,8.5,,,0.5594416,,,,
12000.0,19.0613,,8.5,,,0.45478138,,,,
12060.0,19.066694,,8.5,,,0.43841818,,,,
12120.0,20.04155,,8.5,,,0.4641956,,,,
12180.0,19.506895,,8.5,,,0.46057975,,,,
12240.0,20.73129,,8.5,,,0.4470947,,,,
12300.0,21.059462,,8.5,,,0.43032217,,,,
12360.0,21.244728,,8.5,,,0.451378,,,,
12420.0,20.02033,,8.5,,,0.53830403,,,,
12480.0,20.317627,,8.5,,,0.629272,,,,
12540.0,21.429222,,8.5,,,0.63745886,,,,
12600.0,24.01755,,8.5,,,0.626749,,,,
12660.0,23.163994,,8.5,,,0.5699608,,,,
12720.0,23.861212,,8.5,,,0.60209596,,,,
12780.0,24.046478,,8.5,,,0.5887504,,,,
12840.0,26.27152,,8.5,,,0.5410665,,,,
12900.0,27.730942,,8.5,,,0.5371287,,,,
12960.0,25.693016,,8.5,,,0.50407875,,,,
13020.0,26.805536,,8.5,,,0.59940445,,,,
13080.0,25.760492,,8.5,,,0.58412653,,,,
13140.0,27.291666,,8.5,,,0.6009839,,,,
13200.0,25.245264,,8.5,,,0.585339,,,,
13260.0,23.586199,,8.5,,,0.646162,,,,
13320.0,23.16662,,8.5,,,0.68863976,,,,
13380.0,23.907684,,8.5,,,0.65852803,,,,
13440.0,24.646585,,8.5,,,0.69559693,,,,
13500.0,23.16446,,8.5,,,0.7597543,,,,
13560.0,23.653708,,8.5,,,0.78379333,,,,
13620.0,24.209967,,8.5,,,0.74117076,,,,
13680.0,24.209967,,8.5,,,0.66968626,,,,
13740.0,23.584497,,8.5,,,0.6979288,,,,
13800.0,24.140757,,8.5,,,0.7651487,,,,
13860.0,27.105011,,8.5,,,0.76927626,,,,
13920.0,27.055964,,8.5,,,0.74836856,,,,
13980.0,28.117142,,8.5,,,0.6904582,,,,
14040.0,24.97317,,8.5,,,0.67847985,,,,
14100.0,25.158438,,8.5,,,0.7125132,,,,
14160.0,23.72642,,8.5,,,0.71739495,,,,
14220.0,23.931442,,8.5,,,0.78721523,,,,
14280.0,23.560911,,8.5,,,0.8084965,,,,
14340.0,24.48046,,8.5,,,0.7815104,,,,
14400.0,25.947691,,8.5,,,0.73013866,,,,
14460.0,29.282476,,8.5,,,0.6933167,,,,
14520.0,25.947691,,8.5,,,0.70920306,,,,
14580.0,24.063482,,8.5,,,0.69216573,,,,
14640.0,18.881586,,8.5,,,0.68362767,,,,
14700.0,18.325788,,8.5,,,0.62562484,,,,
14760.0,17.90881,,8.5,,,0.600407,,,,
14820.0,18.46507,,8.5,,,0.63790494,,,,
14880.0,20.317728,,8.5,,,0.7437607,,,,
14940.0,20.10924,,8.5,,,0.8132094,,,,
15000.0,19.552979,,8.5,,,0.7558705,,,,
15060.0,19.92351,,8.5,,,0.6876342,,,,
