TDEP,HDRA,PEFZ,RHOZ
671.1696,-999.25,-999.25,-999.25
671.1188,-999.25,-999.25,-999.25
671.068,-999.25,-999.25,-999.25
671.0172,-999.25,-999.25,-999.25
670.9664,-999.25,-999.25,-999.25
670.9156,-999.25,-999.25,-999.25
670.8648,-999.25,-999.25,-999.25
670.81396,-999.25,-999.25,-999.25
670.7632,-999.25,-999.25,-999.25
670.7124,-999.25,-999.25,-999.25
670.6616,-999.25,-999.25,-999.25
670.6108,-999.25,-999.25,-999.25
670.56,-999.25,-999.25,-999.25
670.5092,-999.25,-999.25,-999.25
670.4584,-999.25,-999.25,-999.25
670.4076,-999.25,-999.25,-999.25
670.3568,-999.25,-999.25,-999.25
670.30597,-999.25,-999.25,-999.25
670.2552,-999.25,-999.25,-999.25
670.2044,-999.25,-999.25,-999.25
670.15356,-999.25,-999.25,-999.25
670.1028,-999.25,-999.25,-999.25
670.052,-999.25,-999.25,-999.25
670.0012,-999.25,-999.25,-999.25
669.9504,-999.25,-999.25,-999.25
669.8996,-999.25,-999.25,-999.25
669.8488,-999.25,-999.25,-999.25
669.798,-999.25,-999.25,-999.25
669.7472,-999.25,-999.25,-999.25
669.6964,-999.25,-999.25,-999.25
669.64557,-999.25,-999.25,-999.25
669.5948,1.6266388,1.5646893,1.6207706
669.544,1.4432192,1.562608,1.6194718
669.49316,1.2610096,1.5721412,1.6193815
669.4424,1.0787736,1.5822508,1.6192648
669.3916,0.89653534,1.5923442,1.6191458
669.3408,0.7142971,1.6023706,1.6190269
669.29,0.53206,1.6123347,1.6189089
669.2392,0.34982407,1.6222378,1.618792
669.1884,0.16758907,1.6320832,1.6186762
669.1376,0.16748607,1.639271,1.6185606
669.0868,0.1673572,1.646531,1.6184301
669.036,0.16722822,1.6538067,1.6183009
668.98517,0.16710281,1.6610385,1.6181753
668.9344,0.16698122,1.668218,1.6180534
668.8836,0.16688907,1.6755216,1.6179612
668.83276,0.16682267,1.6829014,1.6178949
