Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-551-SE,0.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,0.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,1.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,2.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,3.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.0,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.1,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.2,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.3,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.4,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.5,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.6,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.7,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.8,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,4.9,,,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.0,RIACHU,MARUIM,,True,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.1,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.2,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.3,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.4,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.5,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.6,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.7,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.8,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,5.9,RIACHU,MARUIM,,False,False,False,False,,,,,,,,,,,,,,,,
1-BRSA-551-SE,6.0,RIACHU,MARUIM,,False,False,True,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.1,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.2,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.3,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.4,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.5,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.6,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.7,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.8,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,6.9,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.0,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.1,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.2,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.3,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.4,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.5,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.6,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.7,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.8,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,7.9,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.0,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.1,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.2,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.3,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.4,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.5,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.6,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.7,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.8,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,8.9,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.0,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.1,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.2,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.3,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.4,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.5,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.6,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.7,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.8,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,9.9,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.0,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.1,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.2,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.3,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.4,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.5,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.6,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.7,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.8,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,10.9,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,11.0,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
1-BRSA-551-SE,11.1,RIACHU,MARUIM,,False,False,False,False,DOLOMITO,CREME,CLARO,,,,,,,,,,,,,
