,TDEP,BS,GR,NPHI,AHF90,RHOZ
4239,9900.0,8.5,60.82278,0.48407942,,
25434,9910.0,,,,,
25433,9920.0,,,,,2.14924
25432,9930.0,,,,7.0442214,
25431,9940.0,,,,,2.14924
25430,9950.0,,,,,
4238,9960.0,8.5,60.82278,0.48407942,7.0442214,2.14924
25429,9970.0,,,,,
25428,9980.0,,,,,2.14924
25427,9990.0,,,,7.0442214,
25426,10000.0,,,,,2.14924
25425,10010.0,,,,,
4237,10020.0,8.5,59.372772,0.46084931,7.0442214,2.14924
25424,10030.0,,,,,
25423,10040.0,,,,,2.14924
25422,10050.0,,,,7.0442214,
25421,10060.0,,,,,2.14924
25420,10070.0,,,,,
4236,10080.0,8.5,59.507236,0.45951796,7.0442214,2.14924
25419,10090.0,,,,,
25418,10100.0,,,,,2.14924
25417,10110.0,,,,7.0442214,
25416,10120.0,,,,,2.14924
25415,10130.0,,,,,
4235,10140.0,8.5,59.6884,0.46336558,7.0442214,2.14924
25414,10150.0,,,,,
25413,10160.0,,,,,2.14924
25412,10170.0,,,,7.0442214,
25411,10180.0,,,,,2.14924
25410,10190.0,,,,,
4234,10200.0,8.5,59.822315,0.48383242,7.0442214,2.14924
25409,10210.0,,,,,
25408,10220.0,,,,,2.14924
25407,10230.0,,,,7.0442214,
25406,10240.0,,,,,2.14924
25405,10250.0,,,,,
4233,10260.0,8.5,63.199627,0.5424395,7.0442214,2.14924
25404,10270.0,,,,,
25403,10280.0,,,,,2.14924
25402,10290.0,,,,7.0442214,
25401,10300.0,,,,,2.14924
25400,10310.0,,,,,
4232,10320.0,8.5,63.332813,0.5747539,7.0442214,2.14924
25399,10330.0,,,,,
25398,10340.0,,,,,2.14924
25397,10350.0,,,,7.0442214,
25396,10360.0,,,,,2.14924
25395,10370.0,,,,,
4231,10380.0,8.5,64.22317,0.5584239,7.0442214,2.14924
25394,10390.0,,,,,
25393,10400.0,,,,,2.14924
25392,10410.0,,,,7.0442214,
25391,10420.0,,,,,2.14924
25390,10430.0,,,,,
4230,10440.0,8.5,62.60065,0.5468772,7.0442214,2.14924
25389,10450.0,,,,,
25388,10460.0,,,,,2.14924
25387,10470.0,,,,7.0442214,
25386,10480.0,,,,,2.14924
25385,10490.0,,,,,
4229,10500.0,8.5,62.60065,0.52955794,7.0442214,2.14924
25384,10510.0,,,,,
25383,10520.0,,,,,2.14924
25382,10530.0,,,,7.0442214,
25381,10540.0,,,,,2.14924
25380,10550.0,,,,,
4228,10560.0,8.5,61.869034,0.54387134,7.0442214,2.14924
25379,10570.0,,,,,
25378,10580.0,,,,,2.14924
25377,10590.0,,,,7.0442214,
25376,10600.0,,,,,2.14924
25375,10610.0,,,,,
4227,10620.0,8.5,61.57657,0.55431277,7.0442214,2.14924
25374,10630.0,,,,,
25373,10640.0,,,,,2.14924
25372,10650.0,,,,7.0442214,
25371,10660.0,,,,,2.14924
25370,10670.0,,,,,
4226,10680.0,8.5,64.22353,0.5632988,7.0442214,2.14924
25369,10690.0,,,,,
25368,10700.0,,,,,2.14924
25367,10710.0,,,,7.0442214,
25366,10720.0,,,,,2.1492388
25365,10730.0,,,,,
4225,10740.0,8.5,65.81959,0.57163113,7.0442214,2.1473656
25364,10750.0,,,,,
